Sound Lvl ch.0 (V),Sound Lvl ch.1 (V)
-1.056479e+00,-1.039113e+00
-1.051393e+00,-1.032115e+00
-1.061598e+00,-1.036748e+00
-1.067430e+00,-1.043908e+00
-1.067430e+00,-1.048315e+00
-1.054600e+00,-1.040215e+00
-1.047861e+00,-1.032504e+00
-1.052267e+00,-1.032115e+00
-1.061598e+00,-1.036132e+00
-1.067430e+00,-1.043422e+00
-1.067430e+00,-1.046533e+00
-1.058715e+00,-1.040863e+00
-1.057710e+00,-1.038822e+00
-1.055378e+00,-1.035744e+00
-1.059460e+00,-1.038109e+00
-1.056738e+00,-1.037817e+00
-1.050129e+00,-1.033541e+00
-1.048639e+00,-1.029717e+00
-1.048250e+00,-1.029717e+00
-1.050809e+00,-1.029329e+00
-1.048801e+00,-1.028324e+00
-1.045431e+00,-1.026315e+00
-1.040409e+00,-1.022460e+00
-1.042159e+00,-1.023011e+00
-1.044005e+00,-1.024566e+00
-1.047731e+00,-1.027125e+00
-1.052235e+00,-1.031078e+00
-1.064028e+00,-1.040215e+00
-1.067430e+00,-1.045982e+00
-1.067430e+00,-1.052429e+00
-1.067430e+00,-1.056544e+00
-1.067430e+00,-1.055442e+00
-1.067430e+00,-1.048023e+00
-1.058196e+00,-1.040571e+00
-1.055799e+00,-1.037266e+00
-1.060043e+00,-1.038822e+00
-1.062797e+00,-1.041154e+00
-1.060659e+00,-1.040215e+00
-1.058067e+00,-1.039308e+00
-1.054179e+00,-1.035744e+00
-1.060076e+00,-1.037461e+00
-1.059687e+00,-1.038336e+00
-1.060691e+00,-1.039372e+00
-1.055410e+00,-1.035614e+00
-1.060756e+00,-1.038757e+00
-1.060724e+00,-1.038141e+00
-1.055637e+00,-1.036975e+00
-1.059946e+00,-1.038724e+00
-1.058974e+00,-1.039502e+00
-1.059201e+00,-1.038498e+00
-1.056026e+00,-1.036910e+00
-1.063348e+00,-1.039923e+00
-1.063056e+00,-1.040830e+00
-1.055313e+00,-1.036586e+00
-1.065130e+00,-1.041738e+00
-1.057095e+00,-1.038109e+00
-1.061728e+00,-1.039275e+00
-1.063089e+00,-1.039470e+00
-1.057386e+00,-1.036975e+00
-1.064417e+00,-1.041576e+00
-1.058067e+00,-1.038724e+00
-1.063413e+00,-1.041252e+00
-1.063542e+00,-1.040539e+00
-1.056317e+00,-1.036035e+00
-1.065551e+00,-1.041802e+00
