Sound Lvl ch.0 (V),Sound Lvl ch.1 (V)
-1.000137e+00,-9.625213e-01
-9.470345e-01,-9.308673e-01
-8.840503e-01,-8.860915e-01
-9.057254e-01,-8.928629e-01
-9.632341e-01,-9.252298e-01
-9.601562e-01,-9.290205e-01
-9.479741e-01,-9.263962e-01
-9.579531e-01,-9.293445e-01
-9.083498e-01,-8.990836e-01
-9.007684e-01,-8.935433e-01
-1.000169e+00,-9.506308e-01
-9.703620e-01,-9.365371e-01
-8.474716e-01,-8.656475e-01
-9.314829e-01,-9.023559e-01
-9.955362e-01,-9.422070e-01
-9.145056e-01,-9.040407e-01
-9.058550e-01,-8.950985e-01
-9.573051e-01,-9.216983e-01
-9.643033e-01,-9.279513e-01
-8.937377e-01,-8.927333e-01
-9.538059e-01,-9.197543e-01
-9.340748e-01,-9.102613e-01
-9.413322e-01,-9.165468e-01
-9.230266e-01,-9.025503e-01
-9.499180e-01,-9.219899e-01
-9.277245e-01,-9.061466e-01
-9.386107e-01,-9.168384e-01
-9.324872e-01,-9.070214e-01
-9.533524e-01,-9.275301e-01
-9.103585e-01,-8.946125e-01
-9.721439e-01,-9.359863e-01
-8.822684e-01,-8.818472e-01
-1.023367e+00,-9.612902e-01
-8.297492e-01,-8.606257e-01
-1.060076e+00,-9.690660e-01
-8.219085e-01,-8.705074e-01
-1.014198e+00,-9.313533e-01
-9.353708e-01,-9.340748e-01
-8.582605e-01,-8.585521e-01
-1.067430e+00,-9.897367e-01
-7.965723e-01,-8.589733e-01
-9.951150e-01,-9.170328e-01
-1.004187e+00,-9.697140e-01
-7.965399e-01,-8.433569e-01
-1.028551e+00,-9.369583e-01
-9.844232e-01,-9.621974e-01
-8.156879e-01,-8.567702e-01
-9.654697e-01,-8.999260e-01
-1.067430e+00,-1.002146e+00
-7.919392e-01,-8.648052e-01
-9.021939e-01,-8.595889e-01
-1.067430e+00,-1.000623e+00
-9.084146e-01,-9.434706e-01
-7.366661e-01,-7.907405e-01
-1.067430e+00,-1.001271e+00
-8.936729e-01,-9.348848e-01
-8.539838e-01,-8.631852e-01
-9.595406e-01,-9.108445e-01
-9.870152e-01,-9.356624e-01
-9.979337e-01,-9.721115e-01
-7.585356e-01,-8.275136e-01
-9.380923e-01,-8.683043e-01
-1.067430e+00,-1.002437e+00
-8.877762e-01,-9.257806e-01
-8.231073e-01,-8.431625e-01
-1.067430e+00,-9.579207e-01
-1.037007e+00,-1.007978e+00
-7.528981e-01,-8.451064e-01
-8.366826e-01,-8.160767e-01
-1.067430e+00,-9.533848e-01
-9.736019e-01,-9.637849e-01
-7.315146e-01,-8.138087e-01
-7.369253e-01,-7.421740e-01
-9.353708e-01,-8.226213e-01
-1.067430e+00,-9.542919e-01
-1.067430e+00,-1.056026e+00
-1.067430e+00,-1.067430e+00
-1.030981e+00,-1.032957e+00
-9.663769e-01,-9.744119e-01
-9.721763e-01,-9.534172e-01
-9.648217e-01,-9.375415e-01
-1.067430e+00,-1.002178e+00
-1.067430e+00,-1.024890e+00
-1.056123e+00,-1.021326e+00
-1.001984e+00,-9.881816e-01
-1.035841e+00,-9.979337e-01
-9.930091e-01,-9.730835e-01
-9.354680e-01,-9.290205e-01
-9.303813e-01,-9.150564e-01
-9.132097e-01,-9.010923e-01
-8.892990e-01,-8.826248e-01
-8.867719e-01,-8.726458e-01
-9.078962e-01,-8.777325e-01
-9.565275e-01,-9.105205e-01
-9.700380e-01,-9.317096e-01
-9.479741e-01,-9.252622e-01
-9.408786e-01,-9.187175e-01
-9.235450e-01,-9.091274e-01
-9.316448e-01,-9.090302e-01
-9.452849e-01,-9.184583e-01
-9.074102e-01,-8.949365e-01
-9.076046e-01,-8.901738e-01
-9.473585e-01,-9.112009e-01
-9.764530e-01,-9.355652e-01
-9.337832e-01,-9.177132e-01
-9.353708e-01,-9.131125e-01
-9.484925e-01,-9.196571e-01
-9.236422e-01,-9.052070e-01
-9.298629e-01,-9.069242e-01
-9.604478e-01,-9.241282e-01
-9.167088e-01,-9.032631e-01
-9.421098e-01,-9.131773e-01
-9.897043e-01,-9.473261e-01
-9.235126e-01,-9.168384e-01
-9.454793e-01,-9.214067e-01
-9.437622e-01,-9.193655e-01
-9.022587e-01,-8.950337e-01
-9.466781e-01,-9.154128e-01
-9.100021e-01,-8.971720e-01
-9.386755e-01,-9.093218e-01
-9.141492e-01,-8.977228e-01
-9.837753e-01,-9.378655e-01
-9.329732e-01,-9.179076e-01
-9.370555e-01,-9.157044e-01
-9.372175e-01,-9.148296e-01
-9.293121e-01,-9.092570e-01
-9.217631e-01,-9.035223e-01
-9.436974e-01,-9.146676e-01
-9.118813e-01,-8.979496e-01
-9.523804e-01,-9.171300e-01
-9.307701e-01,-9.095162e-01
-9.805029e-01,-9.389023e-01
-9.112009e-01,-9.053690e-01
-9.520240e-01,-9.214715e-01
-9.290205e-01,-9.101641e-01
-9.077990e-01,-8.954549e-01
-9.679644e-01,-9.276273e-01
-9.080582e-01,-8.996992e-01
-9.361483e-01,-9.078638e-01
-9.642061e-01,-9.281133e-01
-9.238690e-01,-9.104233e-01
-9.421098e-01,-9.164172e-01
-9.546483e-01,-9.254242e-01
-9.062762e-01,-8.974636e-01
-9.236746e-01,-8.991484e-01
